Place 1;Place 2;Distance (km)
Bathurst Region;Warren Shire;12824.16
Bathurst Region;Warrumbungle Shire;203.51
Bathurst Region;Waverley Council;15145.03
Bathurst Region;Weddin Shire;12824.16
Bathurst Region;Wentworth Shire;12824.16
Bathurst Region;Willoughby, City of;162.96
Bathurst Region;Wingecarribee Shire;12824.16
Bathurst Region;Wollondilly Shire;12824.16
Bathurst Region;Wollongong, City of;176.95
Bathurst Region;Woollahra, Municipality of;16319.96
Bathurst Region;Yass Valley Council;199.82
Bayside Council;Bega Valley Shire;16252.54
Bayside Council;Bellingen Shire;10753.1
Bayside Council;Berrigan Shire;16546.49
Bayside Council;Blacktown City Council;1375.66
Bayside Council;Bland Shire;10753.1
Bayside Council;Blayney Shire;10753.1
Bayside Council;Blue Mountains, City of;16067.37
Bayside Council;Bogan Shire;10753.1
Bayside Council;Bourke Shire;10753.1
Bayside Council;Brewarrina Shire;16162.65
Bayside Council;Broken Hill, City of;6197.2
Bayside Council;Burwood Council;16018.04
Bayside Council;Byron Shire;10753.1
Bayside Council;Cabonne Shire;16180.62
Bayside Council;Camden Council;1375.66
Bayside Council;Campbelltown, City of;17109.56
Bayside Council;Canada Bay, City of;16016.16
Bayside Council;Canterbury-Bankstown, City of;6197.2
Bayside Council;Carrathool Shire;10753.1
Bayside Council;Central Coast Council;1375.66
Bayside Council;Central Darling Shire;16556.22
Bayside Council;Cessnock, City of;15947.51
Bayside Council;Clarence Valley Council;15668.5
Bayside Council;Cobar Shire;10753.1
Bayside Council;Coffs Harbour, City of;6197.2
Bayside Council;Coolamon Shire;16389.35
Bayside Council;Coonamble Shire;10753.1
Bayside Council;Cootamundra-Gundagai Regional Council;16310.46
Bayside Council;Cowra Shire;10753.1
Bayside Council;Cumberland City Council;1298.21
Bayside Council;Dubbo Regional Council;16149.89
Bayside Council;Dungog Shire;10753.1
Bayside Council;Edward River Council;1375.66
Bayside Council;Eurobodalla Shire;16207.74
Bayside Council;Fairfield, City of;6197.2
Bayside Council;Federation Council;1375.66
Bayside Council;Forbes Shire;10753.1
Bayside Council;Georges River Council;1375.66
Bayside Council;Gilgandra Shire;16112.08
Bayside Council;Glen Innes Severn Council;15740.5
Bayside Council;Goulburn Mulwaree Council;16174.22
Bayside Council;Greater Hume Shire;16428.14
Bayside Council;Griffith, City of;6197.2
Bayside Council;Gunnedah Shire;10753.1
Bayside Council;Gwydir Shire;10753.1
Bayside Council;Hawkesbury, City of;6197.2
Bayside Council;Hay Shire;10753.1
Bayside Council;Hills Shire, The;16020.57
Bayside Council;Hilltops Council;1375.66
Bayside Council;Hornsby Shire;10753.1
Bayside Council;Hunter's Hill, Municipality of;927.54
Bayside Council;Inner West Council;1375.66
Bayside Council;Inverell Shire;10753.1
Bayside Council;Junee Shire;10753.1
Bayside Council;Kempsey Shire;15755.75
Bayside Council;Kiama, Municipality of;6197.2
Bayside Council;Ku-ring-gai Council;1375.66
Bayside Council;Kyogle Council;1375.66
Bayside Council;Lachlan Shire;10753.1
Bayside Council;Lake Macquarie, City of;6197.2
Bayside Council;Lane Cove, Municipality of;6197.2
Bayside Council;Leeton Shire;10753.1
Bayside Council;Lismore, City of;6197.2
Bayside Council;Lithgow, City of;6197.2
Bayside Council;Liverpool, City of;6197.2
Bayside Council;Liverpool Plains Shire;10753.1
Bayside Council;Lockhart Shire;10753.1
Bayside Council;Lord Howe Island;15233.99
Bayside Council;Maitland, City of;6197.2
Bayside Council;Mid-Coast Council;1375.66
Bayside Council;Mid-Western Regional;16072.97
Bayside Council;Moree Plains Shire;15901.53
Bayside Council;Mosman Council;16003.9
Bayside Council;Murray River Council;1375.66
Bayside Council;Murrumbidgee Council;16518.23
Bayside Council;Muswellbrook Shire;10753.1
Bayside Council;Nambucca Shire;15717.86
Bayside Council;Narrandera Shire;10753.1
Bayside Council;Narrabri Shire;10753.1
Bayside Council;Narromine Shire;10753.1
Bayside Council;Newcastle, City of;15915.87
Bayside Council;Northern Beaches Council;1375.66
Bayside Council;North Sydney Council;1375.66
Bayside Council;Oberon Shire;10753.1
Bayside Council;Orange, City of;38.42
Bayside Council;Parkes Shire;10753.1
Bayside Council;Parramatta Council, City of;16023.03
Bayside Council;Penrith, City of;6197.2
Bayside Council;Port Macquarie-Hastings Council;15774.08
Bayside Council;Port Stephens Council;1375.66
Bayside Council;Queanbeyan-Palerang Regional Council;14759.79
Bayside Council;Randwick, City of;16007.62
Bayside Council;Richmond Valley Council;1375.66
Bayside Council;Ryde, City of;16013.95
Bayside Council;Singleton Council;1375.66
Bayside Council;Shellharbour, City of;16069.42
Bayside Council;Shoalhaven, City of;6197.2
Bayside Council;Snowy Monaro Regional Council;16312.08
Bayside Council;Snowy Valleys Council;1375.66
Bayside Council;Strathfield, Municipality of;16019.55
Bayside Council;Sutherland Shire;16035.72
Bayside Council;Sydney, City of;6197.2
Bayside Council;Tamworth Regional Council;1375.66
Bayside Council;Temora Shire;10753.1
Bayside Council;Tenterfield Shire;10753.1
Bayside Council;Tweed Shire;15545.13
Bayside Council;Unincorporated Far West;723.98
Bayside Council;Upper Hunter Shire;15922.54
Bayside Council;Upper Lachlan Shire;16182.16
Bayside Council;Uralla Shire;10753.1
Bayside Council;Wagga Wagga, City of;16386.93
Bayside Council;Walcha Shire;10753.1
Bayside Council;Walgett Shire;10753.1
Bayside Council;Warren Shire;10753.1
Bayside Council;Warrumbungle Shire;16037.86
Bayside Council;Waverley Council;1375.66
Bayside Council;Weddin Shire;10753.1
Bayside Council;Wentworth Shire;10753.1
Bayside Council;Willoughby, City of;16006.4
Bayside Council;Wingecarribee Shire;10753.1
Bayside Council;Wollondilly Shire;10753.1
Bayside Council;Wollongong, City of;16060.32
Bayside Council;Woollahra, Municipality of;6197.2
Bayside Council;Yass Valley Council;16257.36
Bega Valley Shire;Bellingen Shire;12838.6
Bega Valley Shire;Berrigan Shire;368.49
Bega Valley Shire;Blacktown City Council;15192.09
Bega Valley Shire;Bland Shire;12838.6
Bega Valley Shire;Blayney Shire;12838.6
Bega Valley Shire;Blue Mountains, City of;338.08
Bega Valley Shire;Bogan Shire;12838.6
Bega Valley Shire;Bourke Shire;12838.6
Bega Valley Shire;Brewarrina Shire;799.34
Bega Valley Shire;Broken Hill, City of;16574.12
Bega Valley Shire;Burwood Council;334.61
Bega Valley Shire;Byron Shire;12838.6
Bega Valley Shire;Cabonne Shire;401.76
Bega Valley Shire;Camden Council;15192.09
Bega Valley Shire;Campbelltown, City of;1017.23
Bega Valley Shire;Canada Bay, City of;336.88
Bega Valley Shire;Canterbury-Bankstown, City of;16574.12
Bega Valley Shire;Carrathool Shire;12838.6
Bega Valley Shire;Central Coast Council;15192.09
Bega Valley Shire;Central Darling Shire;792.01
Bega Valley Shire;Cessnock, City of;452.4
Bega Valley Shire;Clarence Valley Council;823.46
Bega Valley Shire;Cobar Shire;12838.6
Bega Valley Shire;Coffs Harbour, City of;16574.12
Bega Valley Shire;Coolamon Shire;324.11
Bega Valley Shire;Coonamble Shire;12838.6
Bega Valley Shire;Cootamundra-Gundagai Regional Council;273.4
Bega Valley Shire;Cowra Shire;12838.6
Bega Valley Shire;Cumberland City Council;14970.03
Bega Valley Shire;Dubbo Regional Council;502.52
Bega Valley Shire;Dungog Shire;12838.6
Bega Valley Shire;Edward River Council;15192.09
Bega Valley Shire;Eurobodalla Shire;80.82
Bega Valley Shire;Fairfield, City of;16574.12
Bega Valley Shire;Federation Council;15192.09
Bega Valley Shire;Forbes Shire;12838.6
Bega Valley Shire;Georges River Council;15192.09
Bega Valley Shire;Gilgandra Shire;568.66
Bega Valley Shire;Glen Innes Severn Council;799.98
Bega Valley Shire;Goulburn Mulwaree Council;197.58
Bega Valley Shire;Greater Hume Shire;250.11
Bega Valley Shire;Griffith, City of;16574.12
Bega Valley Shire;Gunnedah Shire;12838.6
Bega Valley Shire;Gwydir Shire;12838.6
Bega Valley Shire;Hawkesbury, City of;16574.12
Bega Valley Shire;Hay Shire;12838.6
Bega Valley Shire;Hills Shire, The;344.11
Bega Valley Shire;Hilltops Council;15192.09
Bega Valley Shire;Hornsby Shire;12838.6
Bega Valley Shire;Hunter's Hill, Municipality of;15325.36
Bega Valley Shire;Inner West Council;15192.09
Bega Valley Shire;Inverell Shire;12838.6
Bega Valley Shire;Junee Shire;12838.6
Bega Valley Shire;Kempsey Shire;686.71
Bega Valley Shire;Kiama, Municipality of;16574.12
Bega Valley Shire;Ku-ring-gai Council;15192.09
Bega Valley Shire;Kyogle Council;15192.09
Bega Valley Shire;Lachlan Shire;12838.6
Bega Valley Shire;Lake Macquarie, City of;16574.12
Bega Valley Shire;Lane Cove, Municipality of;16574.12
Bega Valley Shire;Leeton Shire;12838.6
Bega Valley Shire;Lismore, City of;16574.12
Bega Valley Shire;Lithgow, City of;16574.12
Bega Valley Shire;Liverpool, City of;16574.12
Bega Valley Shire;Liverpool Plains Shire;12838.6
Bega Valley Shire;Lockhart Shire;12838.6
Bega Valley Shire;Lord Howe Island;1031.67
Bega Valley Shire;Maitland, City of;16574.12
Bega Valley Shire;Mid-Coast Council;15192.09
Bega Valley Shire;Mid-Western Regional;452.33
Bega Valley Shire;Moree Plains Shire;832.02
Bega Valley Shire;Mosman Council;345.01
Bega Valley Shire;Murray River Council;15192.09
Bega Valley Shire;Murrumbidgee Council;437.37
Bega Valley Shire;Muswellbrook Shire;12838.6
Bega Valley Shire;Nambucca Shire;722.55
Bega Valley Shire;Narrandera Shire;12838.6
Bega Valley Shire;Narrabri Shire;12838.6
Bega Valley Shire;Narromine Shire;12838.6
Bega Valley Shire;Newcastle, City of;457.0
Bega Valley Shire;Northern Beaches Council;15192.09
Bega Valley Shire;North Sydney Council;15192.09
Bega Valley Shire;Oberon Shire;12838.6
Bega Valley Shire;Orange, City of;16214.66
Bega Valley Shire;Parkes Shire;12838.6
Bega Valley Shire;Parramatta Council, City of;338.66
Bega Valley Shire;Penrith, City of;16574.12
Bega Valley Shire;Port Macquarie-Hastings Council;641.59
Bega Valley Shire;Port Stephens Council;15192.09
Bega Valley Shire;Queanbeyan-Palerang Regional Council;2009.01
Bega Valley Shire;Randwick, City of;336.7
Bega Valley Shire;Richmond Valley Council;15192.09
Bega Valley Shire;Ryde, City of;342.32
Bega Valley Shire;Singleton Council;15192.09
Bega Valley Shire;Shellharbour, City of;254.89
Bega Valley Shire;Shoalhaven, City of;16574.12
Bega Valley Shire;Snowy Monaro Regional Council;79.42
Bega Valley Shire;Snowy Valleys Council;15192.09
Bega Valley Shire;Strathfield, Municipality of;334.19
Bega Valley Shire;Sutherland Shire;310.78
Bega Valley Shire;Sydney, City of;16574.12
Bega Valley Shire;Tamworth Regional Council;15192.09
Bega Valley Shire;Temora Shire;12838.6
Bega Valley Shire;Tenterfield Shire;12838.6
Bega Valley Shire;Tweed Shire;983.72
Bega Valley Shire;Unincorporated Far West;15548.46
Bega Valley Shire;Upper Hunter Shire;545.96
Bega Valley Shire;Upper Lachlan Shire;259.12
Bega Valley Shire;Uralla Shire;12838.6
Bega Valley Shire;Wagga Wagga, City of;275.13
Bega Valley Shire;Walcha Shire;12838.6
Bega Valley Shire;Walgett Shire;12838.6
Bega Valley Shire;Warren Shire;12838.6
Bega Valley Shire;Warrumbungle Shire;579.99
Bega Valley Shire;Waverley Council;15192.09
Bega Valley Shire;Weddin Shire;12838.6
Bega Valley Shire;Wentworth Shire;12838.6
Bega Valley Shire;Willoughby, City of;345.85
Bega Valley Shire;Wingecarribee Shire;12838.6
Bega Valley Shire;Wollondilly Shire;12838.6
Bega Valley Shire;Wollongong, City of;271.23
Bega Valley Shire;Woollahra, Municipality of;16574.12
Bega Valley Shire;Yass Valley Council;203.61
Bellingen Shire;Berrigan Shire;12484.06
Bellingen Shire;Blacktown City Council;11970.29
Bellingen Shire;Bland Shire;0.0
Bellingen Shire;Blayney Shire;0.0
Bellingen Shire;Blue Mountains, City of;12903.67
Bellingen Shire;Bogan Shire;0.0
Bellingen Shire;Bourke Shire;0.0
Bellingen Shire;Brewarrina Shire;12566.16
Bellingen Shire;Broken Hill, City of;4800.14
Bellingen Shire;Burwood Council;12967.85
Bellingen Shire;Byron Shire;0.0
Bellingen Shire;Cabonne Shire;12750.38
Bellingen Shire;Camden Council;11970.29
Bellingen Shire;Campbelltown, City of;11833.24
Bellingen Shire;Canada Bay, City of;12969.03
Bellingen Shire;Canterbury-Bankstown, City of;4800.14
Bellingen Shire;Carrathool Shire;0.0
Bellingen Shire;Central Coast Council;11970.29
Bellingen Shire;Central Darling Shire;12248.28
Bellingen Shire;Cessnock, City of;12991.5
Bellingen Shire;Clarence Valley Council;13123.28
Bellingen Shire;Cobar Shire;0.0
Bellingen Shire;Coffs Harbour, City of;4800.14
Bellingen Shire;Coolamon Shire;12601.73
Bellingen Shire;Coonamble Shire;0.0
Bellingen Shire;Cootamundra-Gundagai Regional Council;12685.56
Bellingen Shire;Cowra Shire;0.0
Bellingen Shire;Cumberland City Council;12039.55
Bellingen Shire;Dubbo Regional Council;12733.64
Bellingen Shire;Dungog Shire;0.0
Bellingen Shire;Edward River Council;11970.29
Bellingen Shire;Eurobodalla Shire;12857.49
Bellingen Shire;Fairfield, City of;4800.14
Bellingen Shire;Federation Council;11970.29
Bellingen Shire;Forbes Shire;0.0
Bellingen Shire;Georges River Council;11970.29
Bellingen Shire;Gilgandra Shire;12739.17
Bellingen Shire;Glen Innes Severn Council;13040.52
Bellingen Shire;Goulburn Mulwaree Council;12846.15
Bellingen Shire;Greater Hume Shire;12610.9
Bellingen Shire;Griffith, City of;4800.14
Bellingen Shire;Gunnedah Shire;0.0
Bellingen Shire;Gwydir Shire;0.0
Bellingen Shire;Hawkesbury, City of;4800.14
Bellingen Shire;Hay Shire;0.0
Bellingen Shire;Hills Shire, The;12959.01
Bellingen Shire;Hilltops Council;11970.29
Bellingen Shire;Hornsby Shire;0.0
Bellingen Shire;Hunter's Hill, Municipality of;11644.07
Bellingen Shire;Inner West Council;11970.29
Bellingen Shire;Inverell Shire;0.0
Bellingen Shire;Junee Shire;0.0
Bellingen Shire;Kempsey Shire;13099.81
Bellingen Shire;Kiama, Municipality of;4800.14
Bellingen Shire;Ku-ring-gai Council;11970.29
Bellingen Shire;Kyogle Council;11970.29
Bellingen Shire;Lachlan Shire;0.0
Bellingen Shire;Lake Macquarie, City of;4800.14
Bellingen Shire;Lane Cove, Municipality of;4800.14
Bellingen Shire;Leeton Shire;0.0
Bellingen Shire;Lismore, City of;4800.14
Bellingen Shire;Lithgow, City of;4800.14
Bellingen Shire;Liverpool, City of;4800.14
Bellingen Shire;Liverpool Plains Shire;0.0
Bellingen Shire;Lockhart Shire;0.0
Bellingen Shire;Lord Howe Island;13723.33
Bellingen Shire;Maitland, City of;4800.14
Bellingen Shire;Mid-Coast Council;11970.29
Bellingen Shire;Mid-Western Regional;12839.76
Bellingen Shire;Moree Plains Shire;12820.17
Bellingen Shire;Mosman Council;12980.71
Bellingen Shire;Murray River Council;11970.29
Bellingen Shire;Murrumbidgee Council;12460.67
Bellingen Shire;Muswellbrook Shire;0.0
Bellingen Shire;Nambucca Shire;13128.08
Bellingen Shire;Narrandera Shire;0.0
Bellingen Shire;Narrabri Shire;0.0
Bellingen Shire;Narromine Shire;0.0
Bellingen Shire;Newcastle, City of;13031.73
Bellingen Shire;Northern Beaches Council;11970.29
Bellingen Shire;North Sydney Council;11970.29
Bellingen Shire;Oberon Shire;0.0
Bellingen Shire;Orange, City of;10787.22
Bellingen Shire;Parkes Shire;0.0
Bellingen Shire;Parramatta Council, City of;12958.91
Bellingen Shire;Penrith, City of;4800.14
Bellingen Shire;Port Macquarie-Hastings Council;13106.19
Bellingen Shire;Port Stephens Council;11970.29
Bellingen Shire;Queanbeyan-Palerang Regional Council;14515.99
Bellingen Shire;Randwick, City of;12980.67
Bellingen Shire;Richmond Valley Council;11970.29
Bellingen Shire;Ryde, City of;12968.79
Bellingen Shire;Singleton Council;11970.29
Bellingen Shire;Shellharbour, City of;12945.2
Bellingen Shire;Shoalhaven, City of;4800.14
Bellingen Shire;Snowy Monaro Regional Council;12764.7
Bellingen Shire;Snowy Valleys Council;11970.29
Bellingen Shire;Strathfield, Municipality of;12966.08
Bellingen Shire;Sutherland Shire;12958.13
Bellingen Shire;Sydney, City of;4800.14
Bellingen Shire;Tamworth Regional Council;11970.29
Bellingen Shire;Temora Shire;0.0
Bellingen Shire;Tenterfield Shire;0.0
Bellingen Shire;Tweed Shire;13176.16
Bellingen Shire;Unincorporated Far West;11475.95
Bellingen Shire;Upper Hunter Shire;12967.61
Bellingen Shire;Upper Lachlan Shire;12811.59
Bellingen Shire;Uralla Shire;0.0
Bellingen Shire;Wagga Wagga, City of;12625.5
Bellingen Shire;Walcha Shire;0.0
Bellingen Shire;Walgett Shire;0.0
Bellingen Shire;Warren Shire;0.0
Bellingen Shire;Warrumbungle Shire;12812.37
Bellingen Shire;Waverley Council;11970.29
Bellingen Shire;Weddin Shire;0.0
Bellingen Shire;Wentworth Shire;0.0
Bellingen Shire;Willoughby, City of;12976.82
Bellingen Shire;Wingecarribee Shire;0.0
Bellingen Shire;Wollondilly Shire;0.0
Bellingen Shire;Wollongong, City of;12948.04
Bellingen Shire;Woollahra, Municipality of;4800.14
Bellingen Shire;Yass Valley Council;12760.18
Berrigan Shire;Blacktown City Council;15529.9
Berrigan Shire;Bland Shire;12484.06
Berrigan Shire;Blayney Shire;12484.06
Berrigan Shire;Blue Mountains, City of;481.32
Berrigan Shire;Bogan Shire;12484.06
Berrigan Shire;Bourke Shire;12484.06
Berrigan Shire;Brewarrina Shire;664.42
Berrigan Shire;Broken Hill, City of;16232.47
Berrigan Shire;Burwood Council;528.46
Berrigan Shire;Byron Shire;12484.06
Berrigan Shire;Cabonne Shire;398.26
Berrigan Shire;Camden Council;15529.9
Berrigan Shire;Campbelltown, City of;652.98
Berrigan Shire;Canada Bay, City of;530.35
Berrigan Shire;Canterbury-Bankstown, City of;16232.47
Berrigan Shire;Carrathool Shire;12484.06
Berrigan Shire;Central Coast Council;15529.9
Berrigan Shire;Central Darling Shire;492.02
Berrigan Shire;Cessnock, City of;606.07
Berrigan Shire;Clarence Valley Council;935.79
